"pwsid","category","percent_income","annual_cost","percent_pays_more"
"OR4100657","inside",0,660,100
"OR4100657","inside",1,660,46.8
"OR4100657","inside",2,660,24.1
"OR4100657","inside",3,660,15.7
"OR4100657","inside",4,660,11.7
"OR4100657","inside",5,660,9.2
"OR4100657","inside",6,660,7.5
"OR4100657","inside",7,660,6.3
"OR4100657","inside",8,660,5.5
"OR4100657","inside",9,660,4.9
"OR4100657","inside",10,660,4.4
"OR4100657","inside",11,660,4
"OR4100657","inside",12,660,3.7
"OR4100657","inside",13,660,3.4
"OR4100657","inside",14,660,3.2
"OR4100657","inside",15,660,2.9
"OR4100657","inside",16,660,2.8
"OR4100657","inside",17,660,2.6
"OR4100657","inside",18,660,2.5
"OR4100657","inside",19,660,2.3
"OR4100657","inside",20,660,2.2
"OR4100587","inside",0,331,100
"OR4100587","inside",1,331,39.5
"OR4100587","inside",2,331,19.3
"OR4100587","inside",3,331,11
"OR4100587","inside",4,331,7.9
"OR4100587","inside",5,331,6
"OR4100587","inside",6,331,4.8
"OR4100587","inside",7,331,4.1
"OR4100587","inside",8,331,3.7
"OR4100587","inside",9,331,3.2
"OR4100587","inside",10,331,2.9
"OR4100587","inside",11,331,2.6
"OR4100587","inside",12,331,2.4
"OR4100587","inside",13,331,2.3
"OR4100587","inside",14,331,2.2
"OR4100587","inside",15,331,2
"OR4100587","inside",16,331,1.8
"OR4100587","inside",17,331,1.7
"OR4100587","inside",18,331,1.5
"OR4100587","inside",19,331,1.5
"OR4100587","inside",20,331,1.4
"OR4100513","inside",0,663,100
"OR4100513","inside",1,663,65
"OR4100513","inside",2,663,33.6
"OR4100513","inside",3,663,21.4
"OR4100513","inside",4,663,15.2
"OR4100513","inside",5,663,11.4
"OR4100513","inside",6,663,9.2
"OR4100513","inside",7,663,7.7
"OR4100513","inside",8,663,6.7
"OR4100513","inside",9,663,5.9
"OR4100513","inside",10,663,5.3
"OR4100513","inside",11,663,4.9
"OR4100513","inside",12,663,4.5
"OR4100513","inside",13,663,4.2
"OR4100513","inside",14,663,3.9
"OR4100513","inside",15,663,3.6
"OR4100513","inside",16,663,3.4
"OR4100513","inside",17,663,3.1
"OR4100513","inside",18,663,3
"OR4100513","inside",19,663,2.8
"OR4100513","inside",20,663,2.7
"OR4100613","inside",0,999,100
"OR4100613","inside",1,999,83.5
"OR4100613","inside",2,999,50
"OR4100613","inside",3,999,32.4
"OR4100613","inside",4,999,25.1
"OR4100613","inside",5,999,21.9
"OR4100613","inside",6,999,17.1
"OR4100613","inside",7,999,14.2
"OR4100613","inside",8,999,11.8
"OR4100613","inside",9,999,10.2
"OR4100613","inside",10,999,9.2
"OR4100613","inside",11,999,8.3
"OR4100613","inside",12,999,7.6
"OR4100613","inside",13,999,6.9
"OR4100613","inside",14,999,6.4
"OR4100613","inside",15,999,5.9
