"pwsid","year","unemploy_rate"
"CA0110001",1990,4
"CA0110001",1992,6.69
"CA0110001",1994,6.21
"CA0110001",1996,4.26
"CA0110001",1998,3.62
"CA0110001",2000,3.34
"CA0110001",2002,7.54
"CA0110001",2004,6.14
"CA0110001",2006,4.46
"CA0110001",2008,6.11
"CA0110001",2010,10.64
"CA0110001",2012,8.24
"CA0110001",2014,5.45
"CA0110001",2016,4
"CA0110001",2018,2.84
"CA0110001",2020,7.32
"CA0110001",2021,5.87
"CA0110003",1990,4.05
"CA0110003",1992,6.53
"CA0110003",1994,6.12
"CA0110003",1996,5.05
"CA0110003",1998,4.14
"CA0110003",2000,3.61
"CA0110003",2002,6.65
"CA0110003",2004,5.85
"CA0110003",2006,4.44
"CA0110003",2008,6.21
"CA0110003",2010,10.91
"CA0110003",2012,8.69
"CA0110003",2014,5.81
"CA0110003",2016,4.29
"CA0110003",2018,3.06
"CA0110003",2020,8.43
"CA0110003",2021,6.64
"CA0110005",1990,4.04
"CA0110005",1992,6.54
"CA0110005",1994,6.14
"CA0110005",1996,5.02
"CA0110005",1998,3.93
"CA0110005",2000,3.59
"CA0110005",2002,6.26
"CA0110005",2004,5.67
"CA0110005",2006,4.37
"CA0110005",2008,6.21
"CA0110005",2010,10.94
"CA0110005",2012,8.79
"CA0110005",2014,5.96
"CA0110005",2016,4.36
"CA0110005",2018,3.13
"CA0110005",2020,8.46
"CA0110005",2021,6.76
"CA0110006",1990,4.05
"CA0110006",1992,6.53
"CA0110006",1994,6.12
"CA0110006",1996,5.05
"CA0110006",1998,4.14
"CA0110006",2000,3.61
"CA0110006",2002,6.65
"CA0110006",2004,5.85
"CA0110006",2006,4.44
"CA0110006",2008,6.21
"CA0110006",2010,10.91
"CA0110006",2012,8.69
"CA0110006",2014,5.81
"CA0110006",2016,4.29
"CA0110006",2018,3.06
"CA0110006",2020,8.43
"CA0110006",2021,6.64
"CA0110008",1990,4.05
"CA0110008",1992,6.53
"CA0110008",1994,6.12
"CA0110008",1996,5.05
"CA0110008",1998,4.14
"CA0110008",2000,3.61
"CA0110008",2002,6.65
"CA0110008",2004,5.85
"CA0110008",2006,4.44
"CA0110008",2008,6.21
"CA0110008",2010,10.91
"CA0110008",2012,8.69
"CA0110008",2014,5.81
"CA0110008",2016,4.29
"CA0110008",2018,3.06
"CA0110008",2020,8.43
"CA0110008",2021,6.64
"CA0110009",1990,4.04
"CA0110009",1992,6.54
"CA0110009",1994,6.14
"CA0110009",1996,5.02
"CA0110009",1998,3.93
"CA0110009",2000,3.59
"CA0110009",2002,6.26
"CA0110009",2004,5.67
"CA0110009",2006,4.37
"CA0110009",2008,6.21
"CA0110009",2010,10.94
"CA0110009",2012,8.79
"CA0110009",2014,5.96
"CA0110009",2016,4.36
"CA0110009",2018,3.13
"CA0110009",2020,8.46
"CA0110009",2021,6.76
"CA0110011",1990,4.05
"CA0110011",1992,6.53
"CA0110011",1994,6.12
"CA0110011",1996,5.05
"CA0110011",1998,4.14
"CA0110011",2000,3.61
"CA0110011",2002,6.65
"CA0110011",2004,5.85
"CA0110011",2006,4.44
"CA0110011",2008,6.21
"CA0110011",2010,10.91
"CA0110011",2012,8.69
"CA0110011",2014,5.81
"CA0110011",2016,4.29
"CA0110011",2018,3.06
"CA0110011",2020,8.43
"CA0110011",2021,6.64
"CA0210002",1990,5.33
"CA0210002",1992,9.34
"CA0210002",1994,8.21
"CA0210002",1996,6.87
"CA0210002",1998,5.64
"CA0210002",2000,5.24
"CA0210002",2002,5.78
"CA0210002",2004,5.83
"CA0210002",2006,5.37
"CA0210002",2008,7.76
"CA0210002",2010,14.03
"CA0210002",2012,12.22
"CA0210002",2014,8.3
"CA0210002",2016,5.96
"CA0210002",2018,4.12
"CA0210002",2020,8.47
"CA0210002",2021,7.66
"CA0300016",1990,5.19
"CA0300016",1992,9.15
"CA0300016",1994,8.13
"CA0300016",1996,6.75
"CA0300016",1998,5.49
"CA0300016",2000,5.2
"CA0300016",2002,5.72
"CA0300016",2004,5.76
"CA0300016",2006,5.34
"CA0300016",2008,7.69
"CA0300016",2010,14.06
"CA0300016",2012,12.26
"CA0300016",2014,8.3
"CA0300016",2016,5.95
"CA0300016",2018,4.1
"CA0300016",2020,8.44
"CA0300016",2021,7.68
"CA0300019",1990,5.19
"CA0300019",1992,9.15
"CA0300019",1994,8.13
"CA0300019",1996,6.75
"CA0300019",1998,5.49
"CA0300019",2000,5.2
"CA0300019",2002,5.72
"CA0300019",2004,5.76
"CA0300019",2006,5.34
"CA0300019",2008,7.69
"CA0300019",2010,14.06
"CA0300019",2012,12.26
"CA0300019",2014,8.3
"CA0300019",2016,5.95
"CA0300019",2018,4.1
"CA0300019",2020,8.44
"CA0300019",2021,7.68
"CA0310001",1990,5.19
