"pwsid","category","service","base_cost","fixed_surcharge","total","vol_cost","vol_surcharge","zone_cost","zone_surcharge"
"CA0110001","inside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","inside","storm",0,0,0,0,0,0,0
"CA0110001","inside","total",63.41,0,155.57,0,0,0,0
"CA0110001","inside","water",28.3,0,120.46,92.16,0,0,0
"CA0110001","outside","sewer",35.11,0,35.11,0,0,0,0
"CA0110001","outside","total",63.41,0,169.39,0,0,0,0
"CA0110001","outside","water",28.3,0,134.28,105.98,0,0,0
"CA0110003","inside","sewer",61.88,0,61.88,0,0,0,0
"CA0110003","inside","storm",0,0,0,0,0,0,0
"CA0110003","inside","total",94.5,0,183.07,0,0,0,0
"CA0110003","inside","water",32.62,0,121.19,88.57,0,0,0
"CA0110005","inside","sewer",7.3,7.8,26.98,11.88,0,0,0
"CA0110005","inside","storm",0,0,0,0,0,0,0
"CA0110005","inside","total",35.17,7.8,188.9,125.49,20.44,0,0
"CA0110005","inside","water",27.87,0,161.92,113.61,20.44,0,0
"CA0110006","inside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","inside","storm",0,0,0,0,0,0,0
"CA0110006","inside","total",51.81,0,199.17,0,0,0,0
"CA0110006","inside","water",16,0,163.36,147.36,0,0,0
"CA0110006","outside","sewer",35.81,0,35.81,0,0,0,0
"CA0110006","outside","total",54.21,0,150.63,0,0,0,0
"CA0110006","outside","water",18.4,0,114.82,96.42,0,0,0
"CA0110008","inside","sewer",13.2,81.76,94.96,0,0,0,0
"CA0110008","inside","storm",0,0,0,0,0,0,0
"CA0110008","inside","total",25.66,81.76,182.5,0,0,0,0
"CA0110008","inside","water",12.46,0,87.54,75.08,0,0,0
"CA0110009","inside","sewer",39.05,0,39.05,0,0,0,0
"CA0110009","inside","storm",0,0,1.92,0,0,0,0
"CA0110009","inside","total",56.63,3.1,139.54,0,2.61,0,0
"CA0110009","inside","water",17.58,3.1,100.49,77.2,2.61,0,0
"CA0110011","inside","sewer",58.93,0,58.93,0,0,0,0
"CA0110011","inside","storm",0,0,0,0,0,0,0
"CA0110011","inside","total",100.82,0,172.89,0,0,0,0
"CA0110011","inside","water",41.89,0,113.96,72.07,0,0,0
"CA0210002","inside","sewer",53.05,0,656.02,602.97,0,0,0
"CA0210002","inside","storm",0,0,0,0,0,0,0
"CA0210002","inside","total",82.34,3.35,897.2,811.51,0,0,0
"CA0210002","inside","water",29.29,3.35,241.18,208.54,0,0,0
"CA0300016","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0300016","inside","storm",0,0,0,0,0,0,0
"CA0300016","inside","total",75.14,0,112.39,0,0,0,0
"CA0300016","inside","water",42.25,0,79.5,37.25,0,0,0
"CA0300019","inside","sewer",25,0,25,0,0,0,0
"CA0300019","inside","storm",0,0,0,0,0,0,0
"CA0300019","inside","total",75,0,85,0,0,0,0
"CA0300019","inside","water",50,0,60,10,0,0,0
"CA0310001","inside","sewer",38.05,10.6,48.65,0,0,0,0
"CA0310001","inside","storm",0,0,0,0,0,0,0
"CA0310001","inside","total",65.54,10.6,141.11,0,0,0,0
"CA0310001","inside","water",27.49,0,92.46,64.97,0,0,0
"CA0310002","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310002","inside","storm",0,0,0,0,0,0,0
"CA0310002","inside","total",140.16,16.62,205.71,0,0,0,0
"CA0310002","inside","water",31.34,16.62,96.89,48.93,0,0,0
"CA0310003","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310003","inside","storm",0,0,0,0,0,0,0
"CA0310003","inside","total",140.16,16.62,205.71,0,0,0,0
"CA0310003","inside","water",31.34,16.62,96.89,48.93,0,0,0
"CA0310005","inside","sewer",32.89,0,32.89,0,0,0,0
"CA0310005","inside","storm",0,0,0,0,0,0,0
"CA0310005","inside","total",75.51,0,159.21,0,0,0,0
"CA0310005","inside","water",42.62,0,126.32,83.7,0,0,0
"CA0310006","inside","sewer",57.75,0,57.75,0,0,0,0
"CA0310006","inside","storm",0,0,0,0,0,0,0
"CA0310006","inside","total",107.65,0,198.36,0,0,0,0
"CA0310006","inside","water",49.9,0,140.61,90.71,0,0,0
"CA0310012","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310012","inside","storm",0,0,0,0,0,0,0
"CA0310012","inside","total",140.16,16.62,205.71,0,0,0,0
"CA0310012","inside","water",31.34,16.62,96.89,48.93,0,0,0
"CA0310019","inside","sewer",108.82,0,108.82,0,0,0,0
"CA0310019","inside","storm",0,0,0,0,0,0,0
"CA0310019","inside","total",140.16,16.62,205.71,0,0,0,0
"CA0310019","inside","water",31.34,16.62,96.89,48.93,0,0,0
"CA0310021","inside","sewer",108.82,10.8,119.62,0,0,0,0
"CA0310021","inside","storm",0,0,0,0,0,0,0
"CA0310021","inside","total",140.16,19.53,208.62,0,0,0,0
"CA0310021","inside","water",31.34,8.73,89,48.93,0,0,0
